MetadataType,ComponentName,Namespace,LastModifiedDate
CustomObject,DataUseLegalBasis,,1970-01-01T00:00:00.000Z
CustomObject,ExtDataShare,,1970-01-01T00:00:00.000Z
CustomObject,PromotionTarget,,1970-01-01T00:00:00.000Z
CustomObject,ServiceContract,,1970-01-01T00:00:00.000Z
CustomObject,DuplicateRecordSet,,1970-01-01T00:00:00.000Z
CustomObject,AuthorizationFormText,,1970-01-01T00:00:00.000Z
CustomObject,MktMLModel,,1970-01-01T00:00:00.000Z
CustomObject,OrgMetricScanResult,,1970-01-01T00:00:00.000Z
CustomObject,ReturnOrder,,1970-01-01T00:00:00.000Z
CustomObject,ResourceAbsence,,1970-01-01T00:00:00.000Z
CustomObject,InvoiceLine,,1970-01-01T00:00:00.000Z
CustomObject,OrgMetricScanSummary,,1970-01-01T00:00:00.000Z
CustomObject,SalesStore,,1970-01-01T00:00:00.000Z
CustomObject,MacroInstruction,,1970-01-01T00:00:00.000Z
CustomObject,ContactRequest,,1970-01-01T00:00:00.000Z
CustomObject,PaymentAuthAdjustment,,1970-01-01T00:00:00.000Z
CustomObject,PromotionSegment,,1970-01-01T00:00:00.000Z
CustomObject,CouponCodeRedemption,,1970-01-01T00:00:00.000Z
CustomObject,UserExternalCredential,,1970-01-01T00:00:00.000Z
CustomObject,RefundLinePayment,,1970-01-01T00:00:00.000Z
CustomObject,LegalEntity,,1970-01-01T00:00:00.000Z
CustomObject,WebCart,,1970-01-01T00:00:00.000Z
CustomObject,AppointmentInvitee,,1970-01-01T00:00:00.000Z
CustomObject,CreditMemoInvApplication,,1970-01-01T00:00:00.000Z
CustomObject,MacroUsage,,1970-01-01T00:00:00.000Z
CustomObject,TopicAssignment,,1970-01-01T00:00:00.000Z
CustomObject,ServiceTerritoryMember,,1970-01-01T00:00:00.000Z
CustomObject,CartCheckoutSession,,1970-01-01T00:00:00.000Z
CustomObject,AssetActionSource,,1970-01-01T00:00:00.000Z
CustomObject,WorkTypeGroupMember,,1970-01-01T00:00:00.000Z
CustomObject,Order,,1970-01-01T00:00:00.000Z
CustomObject,Opportunity,,1970-01-01T00:00:00.000Z
CustomObject,CommSubscriptionTiming,,1970-01-01T00:00:00.000Z
CustomObject,PromotionSegmentSalesStore,,1970-01-01T00:00:00.000Z
CustomObject,CommSubscriptionConsent,,1970-01-01T00:00:00.000Z
CustomObject,OrderItem,,1970-01-01T00:00:00.000Z
CustomObject,WaitlistParticipant,,1970-01-01T00:00:00.000Z
CustomObject,StreamingChannel,,1970-01-01T00:00:00.000Z
CustomObject,FlowOrchestrationLog,,1970-01-01T00:00:00.000Z
CustomObject,ProductCatalog,,1970-01-01T00:00:00.000Z
CustomObject,ShiftEngagementChannel,,1970-01-01T00:00:00.000Z
